,Substructure Index,WURCS,glycoCT
L26788,0,"WURCS=2.0/1,1,0/[u2112h-?b_2*NCC/3=O]/1/","RES
1b:b-dgal-HEX-x:x
2s:n-acetyl
LIN
1:1d(2+1)2n
"
L104489,1,"WURCS=2.0/1,1,0/[uxxxxh_2*NCC/3=O]/1/","RES
1b:x-HEX-x:x
2s:n-acetyl
LIN
1:1d(2+1)2n
"
L26789,2,"WURCS=2.0/1,1,0/[u2112h-?b]/1/","RES
1b:b-dgal-HEX-x:x
LIN
"
L26791,4,"WURCS=2.0/1,1,0/[u1221m-?a]/1/","RES
1b:a-lgal-HEX-x:x|6:d
LIN
"
L26792,5,"WURCS=2.0/1,1,0/[u2122h-?b_2*NCC/3=O_6*OSO/3=O/3=O]/1/","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3s:sulfate
LIN
1:1d(2+1)2n
2:1o(6+1)3n
"
L26793,6,"WURCS=2.0/1,1,0/[Aud21122h-?a_5*NCC/3=O]/1/","RES
1b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
2s:n-acetyl
LIN
1:1d(5+1)2n
"
L26798,8,"WURCS=2.0/1,1,0/[u2122h-?b_?*OSO/3=O/3=O_2*NCC/3=O]/1/","RES
1b:b-dglc-HEX-x:x
2s:sulfate
3s:n-acetyl
LIN
1:1o(-1+1)2n
2:1d(2+1)3n
"
L26799,9,"WURCS=2.0/2,2,1/[u2112h-?b][uxxxxh_2*NCC/3=O]/1-2/a4-b1","RES
1b:b-dgal-HEX-x:x
2b:x-HEX-x:x
3s:n-acetyl
LIN
1:1o(4+1)2d
2:2d(2+1)3n
"
L26800,10,"WURCS=2.0/2,2,1/[u2122h-?b_2*NCC/3=O][u2112h-?b_2*NCC/3=O]/1-2/a4-b1","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
"
L26801,11,"WURCS=2.0/2,2,1/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O]/1-2/a6-b1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(6+1)3d
3:3d(2+1)4n
"
