,Substructure Index,WURCS,glycoCT
L26802,12,"WURCS=2.0/2,2,1/[u2112h_2*NCC/3=O][u2112h-?b]/1-2/a3-b1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
"
L26803,13,"WURCS=2.0/2,2,1/[u2112h][u2122h_2*NCC/3=O]/1-2/a?-b1","RES
1b:x-dgal-HEX-x:x
2b:x-dglc-HEX-x:x
3s:n-acetyl
LIN
1:1o(-1+1)2d
2:2d(2+1)3n
"
L26804,14,"WURCS=2.0/2,2,1/[u2122h-?b_2*NCC/3=O][u2112h]/1-2/a?-b1","RES
1b:b-dglc-HEX-x:x
2b:x-dgal-HEX-x:x
3s:n-acetyl
LIN
1:1o(-1+1)2d
2:1d(2+1)3n
"
L26805,15,"WURCS=2.0/2,2,1/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O]/1-2/a3-b1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
"
L26806,16,"WURCS=2.0/2,2,1/[u2112h-?b][u1221m-?a]/1-2/a2-b1","RES
1b:b-dgal-HEX-x:x
2b:a-lgal-HEX-x:x|6:d
LIN
1:1o(2+1)2d
"
L26807,17,"WURCS=2.0/2,2,1/[u2122h-?b_2*NCC/3=O_6*OSO/3=O/3=O][u2112h-?b]/1-2/a4-b1","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4s:sulfate
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:1o(6+1)4n
"
L26808,18,"WURCS=2.0/2,2,1/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O_6*OSO/3=O/3=O]/1-2/a6-b1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5s:sulfate
LIN
1:1d(2+1)2n
2:1o(6+1)3d
3:3d(2+1)4n
4:3o(6+1)5n
"
L26809,19,"WURCS=2.0/2,2,1/[u2122h_2*NCC/3=O_6*OSO/3=O/3=O][u2112h]/1-2/a?-b1","RES
1b:x-dglc-HEX-x:x
2b:x-dgal-HEX-x:x
3s:n-acetyl
4s:sulfate
LIN
1:1o(-1+1)2d
2:1d(2+1)3n
3:1o(6+1)4n
"
L26810,20,"WURCS=2.0/2,2,1/[u2122h_2*NCC/3=O_6*OSO/3=O/3=O][u1221m]/1-2/a?-b1","RES
1b:x-dglc-HEX-x:x
2b:x-lgal-HEX-x:x|6:d
3s:n-acetyl
4s:sulfate
LIN
1:1o(-1+1)2d
2:1d(2+1)3n
3:1o(6+1)4n
"
L26812,22,"WURCS=2.0/2,2,1/[u2112h_2*NCC/3=O][Aud21122h-?a_5*NCC/3=O]/1-2/a6-b2","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
4s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(6+2)3d
3:3d(5+1)4n
"
L26813,23,"WURCS=2.0/2,2,1/[u2112h-?b][Aud21122h-?a_5*NCC/3=O]/1-2/a3-b2","RES
1b:b-dgal-HEX-x:x
2b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
3s:n-acetyl
LIN
1:1o(3+2)2d
2:2d(5+1)3n
"
L26814,25,"WURCS=2.0/2,2,1/[u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2/a4-b1","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(4+1)3d
"
L26815,26,"WURCS=2.0/2,2,1/[u2112h-?b][uxxxxh_2*NCC/3=O]/1-2/a3-b1","RES
1b:b-dgal-HEX-x:x
2b:x-HEX-x:x
3s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n
"
L26817,28,"WURCS=2.0/2,2,1/[u2112h_2*NCC/3=O][u2112h]/1-2/a?-b1","RES
1b:x-dgal-HEX-x:x
2b:x-dgal-HEX-x:x
3s:n-acetyl
LIN
1:1o(-1+1)2d
2:1d(2+1)3n
"
L26819,30,"WURCS=2.0/2,2,1/[u2112h-?b][u2112h-?a]/1-2/a3-b1","RES
1b:b-dgal-HEX-x:x
2b:a-dgal-HEX-x:x
LIN
1:1o(3+1)2d
"
L26820,31,"WURCS=2.0/2,2,1/[u2122h-?b_2*NCC/3=O][u1221m]/1-2/a?-b1","RES
1b:b-dglc-HEX-x:x
2b:x-lgal-HEX-x:x|6:d
3s:n-acetyl
LIN
1:1o(-1+1)2d
2:1d(2+1)3n
"
L26823,34,"WURCS=2.0/2,2,1/[u2122h-?b_?*OSO/3=O/3=O_2*NCC/3=O][u2112h-?b]/1-2/a4-b1","RES
1b:b-dglc-HEX-x:x
2s:sulfate
3s:n-acetyl
4b:b-dgal-HEX-x:x
LIN
1:1o(-1+1)2n
2:1d(2+1)3n
3:1o(4+1)4d
"
L26824,35,"WURCS=2.0/2,2,1/[u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2/a3-b1","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
"
L26825,36,"WURCS=2.0/2,2,1/[u2112h_2*NCC/3=O][u2112h-?a_2*NCC/3=O]/1-2/a3-b1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:a-dgal-HEX-x:x
4s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
"
L26838,48,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2112h-?b][uxxxxh_2*NCC/3=O]/1-2-3/a3-b1_b4-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
"
L26839,49,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2-3/a3-c1_a6-b1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
"
L26840,50,"WURCS=2.0/3,3,2/[u2122h-?b_2*NCC/3=O][u2112h][u2122h_2*NCC/3=O]/1-2-3/a?-b1_b?-c1","RES
1b:b-dglc-HEX-x:x
2b:x-dgal-HEX-x:x
3b:x-dglc-HEX-x:x
4s:n-acetyl
5s:n-acetyl
LIN
1:1o(-1+1)2d
2:2o(-1+1)3d
3:3d(2+1)4n
4:1d(2+1)5n
"
L26841,51,"WURCS=2.0/2,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O]/1-2-2/a3-c1_a6-b1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dglc-HEX-x:x
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:1o(6+1)5d
5:5d(2+1)6n
"
L26842,52,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h]/1-2-3/a3-b1_b?-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4b:x-dgal-HEX-x:x
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:3d(2+1)5n
"
L26843,53,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O_6*OSO/3=O/3=O][u2112h-?b]/1-2-3/a6-b1_b4-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dgal-HEX-x:x
6s:sulfate
LIN
1:1d(2+1)2n
2:1o(6+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:3o(6+1)6n
"
L26844,54,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2112h-?b][u1221m-?a]/1-2-3/a3-b1_b2-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
"
L26845,55,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O_6*OSO/3=O/3=O][u2112h-?b]/1-2-3/a3-c1_a6-b1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(6+1)6n
"
L26851,60,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2112h-?b][Aud21122h-?a_5*NCC/3=O]/1-2-3/a3-b1_b3-c2","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
"
L26852,61,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][Aud21122h-?a_5*NCC/3=O][u2112h-?b]/1-2-3/a3-c1_a6-b2","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+2)4d
4:4d(5+1)5n
"
L26853,62,"WURCS=2.0/3,3,2/[u2122h-?b_2*NCC/3=O][u2112h-?b][uxxxxh_2*NCC/3=O]/1-2-3/a4-b1_b?-c1","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(-1+1)4d
4:4d(2+1)5n
"
L26854,63,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2-3/a6-b1_b4-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(6+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
"
L26855,64,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2112h-?b][uxxxxh_2*NCC/3=O]/1-2-3/a3-b1_b3-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
"
L26858,67,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h]/1-2-3/a?-c1_a6-b1","RES
1b:x-dgal-HEX-x:x
2b:x-dgal-HEX-x:x
3s:n-acetyl
4b:b-dglc-HEX-x:x
5s:n-acetyl
LIN
1:1o(-1+1)2d
2:1d(2+1)3n
3:1o(6+1)4d
4:4d(2+1)5n
"
L26859,68,"WURCS=2.0/3,3,2/[u2122h-?b_2*NCC/3=O][u2112h-?b][u2122h-?a_2*NCC/3=O]/1-2-3/a4-b1_b4-c1","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dglc-HEX-x:x
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
"
L26860,69,"WURCS=2.0/2,3,2/[u2112h-?b][u2122h-?b_2*NCC/3=O]/1-2-1/a3-b1_b4-c1","RES
1b:b-dgal-HEX-x:x
2b:b-dglc-HEX-x:x
3s:n-acetyl
4b:b-dgal-HEX-x:x
LIN
1:1o(3+1)2d
2:2d(2+1)3n
3:2o(4+1)4d
"
L26863,72,"WURCS=2.0/3,3,2/[u2122h-?b_2*NCC/3=O][u2112h-?b][u1221m-?a]/1-2-3/a4-b1_b2-c1","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(2+1)4d
"
L26864,73,"WURCS=2.0/3,3,2/[u2112h-?b][u2112h-?a_2*NCC/3=O][u1221m-?a]/1-2-3/a2-c1_a3-b1","RES
1b:b-dgal-HEX-x:x
2b:a-lgal-HEX-x:x|6:d
3b:a-dgal-HEX-x:x
4s:n-acetyl
LIN
1:1o(2+1)2d
2:1o(3+1)3d
3:3d(2+1)4n
"
L26866,75,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2-3/a3-b1_b4-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
"
L26867,76,"WURCS=2.0/3,3,2/[u2112h-?b][u2122h-?b_2*NCC/3=O][u1221m-?a]/1-2-3/a2-c1_a3-b1","RES
1b:b-dgal-HEX-x:x
2b:a-lgal-HEX-x:x|6:d
3b:b-dglc-HEX-x:x
4s:n-acetyl
LIN
1:1o(2+1)2d
2:1o(3+1)3d
3:3d(2+1)4n
"
L26868,77,"WURCS=2.0/3,3,2/[u2112h-?b][u2112h-?a][u1221m-?a]/1-2-3/a2-c1_a3-b1","RES
1b:b-dgal-HEX-x:x
2b:a-lgal-HEX-x:x|6:d
3b:a-dgal-HEX-x:x
LIN
1:1o(2+1)2d
2:1o(3+1)3d
"
L26871,79,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h]/1-2-3/a6-b1_b?-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4b:x-dgal-HEX-x:x
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(6+1)3d
3:3o(-1+1)4d
4:3d(2+1)5n
"
L26872,80,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u1221m]/1-2-3/a6-b1_b?-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4b:x-lgal-HEX-x:x|6:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(6+1)3d
3:3o(-1+1)4d
4:3d(2+1)5n
"
L26873,81,"WURCS=2.0/3,3,2/[u2122h-?b_2*NCC/3=O][u2112h-?b][Aud21122h-?a_5*NCC/3=O]/1-2-3/a4-b1_b3-c2","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
"
L26877,85,"WURCS=2.0/3,3,2/[u2122h-?b_2*NCC/3=O][u2112h-?b][u1221m-?a]/1-2-3/a3-b1_b2-c1","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
"
L26878,86,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2-3/a3-b1_b3-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(3+1)5d
"
L26879,87,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u1221m]/1-2-3/a3-b1_b?-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4b:x-lgal-HEX-x:x|6:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:3d(2+1)5n
"
L26880,88,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][Aud21122h-?a_5*NCC/3=O][u2112h-?a_2*NCC/3=O]/1-2-3/a3-c1_a6-b2","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:a-dgal-HEX-x:x
4s:n-acetyl
5b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:1o(6+2)5d
5:5d(5+1)6n
"
L26881,89,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][Aud21122h-?a_5*NCC/3=O][u2122h-?b_2*NCC/3=O]/1-2-3/a3-c1_a6-b2","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:1o(6+2)5d
5:5d(5+1)6n
"
L26883,91,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O_6*OSO/3=O/3=O][u2112h-?b]/1-2-3/a3-b1_b4-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dgal-HEX-x:x
6s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:3o(6+1)6n
"
L26884,92,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b_2*NCC/3=O]/1-2-3/a3-b1_b4-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dgal-HEX-x:x
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n
"
L26885,93,"WURCS=2.0/2,3,2/[u2112h][u2122h_2*NCC/3=O]/1-2-1/a?-b1_b?-c1","RES
1b:x-dgal-HEX-x:x
2b:x-dglc-HEX-x:x
3b:x-dgal-HEX-x:x
4s:n-acetyl
LIN
1:1o(-1+1)2d
2:2o(-1+1)3d
3:2d(2+1)4n
"
L26888,95,"WURCS=2.0/3,3,2/[u2122h-?b_2*NCC/3=O][u2112h][u1221m-?a]/1-2-3/a?-b1_b2-c1","RES
1b:b-dglc-HEX-x:x
2b:x-dgal-HEX-x:x
3b:a-lgal-HEX-x:x|6:d
4s:n-acetyl
LIN
1:1o(-1+1)2d
2:2o(2+1)3d
3:1d(2+1)4n
"
L26895,102,"WURCS=2.0/3,3,2/[u2112h-?b][u2122h_2*NCC/3=O][u1221m]/1-2-3/a?-b1_b?-c1","RES
1b:b-dgal-HEX-x:x
2b:x-dglc-HEX-x:x
3b:x-lgal-HEX-x:x|6:d
4s:n-acetyl
LIN
1:1o(-1+1)2d
2:2o(-1+1)3d
3:2d(2+1)4n
"
L26896,103,"WURCS=2.0/3,3,2/[u2122h_2*NCC/3=O][u2112h][Aud21122h-?a_5*NCC/3=O]/1-2-3/a?-b1_b3-c2","RES
1b:x-dglc-HEX-x:x
2b:x-dgal-HEX-x:x
3b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
4s:n-acetyl
5s:n-acetyl
LIN
1:1o(-1+1)2d
2:2o(3+2)3d
3:3d(5+1)4n
4:1d(2+1)5n
"
L104530,105,"WURCS=2.0/2,3,2/[u2112h-?b][u2122h_2*NCC/3=O]/1-2-2/a?-c1_a?-b1","RES
1b:b-dgal-HEX-x:x
2b:x-dglc-HEX-x:x
3s:n-acetyl
4b:x-dglc-HEX-x:x
5s:n-acetyl
LIN
1:1o(-1+1)2d
2:2d(2+1)3n
3:1o(-1+1)4d
4:4d(2+1)5n
"
L26905,109,"WURCS=2.0/3,3,2/[u2122h-?b_2*NCC/3=O][u2112h][u2112h-?a]/1-2-3/a?-b1_b3-c1","RES
1b:b-dglc-HEX-x:x
2b:x-dgal-HEX-x:x
3b:a-dgal-HEX-x:x
4s:n-acetyl
LIN
1:1o(-1+1)2d
2:2o(3+1)3d
3:1d(2+1)4n
"
L26918,120,"WURCS=2.0/3,3,2/[u2122h-?b_2*NCC/3=O][u2112h][uxxxxh_2*NCC/3=O]/1-2-3/a?-b1_b4-c1","RES
1b:b-dglc-HEX-x:x
2b:x-dgal-HEX-x:x
3b:x-HEX-x:x
4s:n-acetyl
5s:n-acetyl
LIN
1:1o(-1+1)2d
2:2o(4+1)3d
3:3d(2+1)4n
4:1d(2+1)5n
"
L26935,134,"WURCS=2.0/3,3,2/[u2112h_2*NCC/3=O][u2122h-?b_?*OSO/3=O/3=O_2*NCC/3=O][u2112h-?b]/1-2-3/a3-c1_a6-b1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:sulfate
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4o(-1+1)5n
5:4d(2+1)6n
"
L26937,136,"WURCS=2.0/4,4,3/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][uxxxxh_2*NCC/3=O]/1-2-3-4/a3-c1_a6-b1_c4-d1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
"
L26938,137,"WURCS=2.0/4,4,3/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b_2*NCC/3=O][u2112h-?b]/1-2-3-4/a3-d1_a6-b1_b4-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6d(2+1)7n
"
L26940,139,"WURCS=2.0/3,4,3/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h]/1-2-2-3/a3-c1_a6-b1_c?-d1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4b:x-dgal-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:3d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
"
L26941,140,"WURCS=2.0/4,4,3/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O_6*OSO/3=O/3=O][u2112h-?b][u1221m-?a]/1-2-3-4/a3-c1_a6-b1_c2-d1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:n-acetyl
7s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(6+1)7n
"
L26942,141,"WURCS=2.0/3,4,3/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O_6*OSO/3=O/3=O][u2112h-?b]/1-2-3-3/a3-d1_a6-b1_b4-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:4o(6+1)7n
"
L26945,143,"WURCS=2.0/4,4,3/[u2112h_2*NCC/3=O][u2112h-?b][u2122h_2*NCC/3=O_6*OSO/3=O/3=O][u1221m]/1-2-3-4/a3-b1_b?-c1_c?-d1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-dglc-HEX-x:x
5b:x-lgal-HEX-x:x|6:d
6s:n-acetyl
7s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4o(-1+1)5d
5:4d(2+1)6n
6:4o(6+1)7n
"
