,P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA-FS,P6TA-FG,P6TA-AS,P6TA-AG,P5TA-AS,P5TA-AG,P7TA-AS,P7TA-AG,P8H,P9H,P10H
"(('Hex', 1),)",99.12160432685039,100.00000000000001,100.00000000000001,94.07662917503512,100.00000000000006,98.99375256200436,98.82189180241619,98.83057321745862,98.84938300405281,97.37820218600582,97.77814627743778,99.99999999999997,99.99999999999999,99.99999999999999,98.46705100022184,97.92933941438237,97.70729291829002
"(('Hex', 1), ('HexNAc', 1))",99.12160432685039,100.00000000000001,100.00000000000001,94.07662917503512,100.00000000000006,98.99375256200436,98.82189180241619,98.83057321745862,98.84938300405281,97.37820218600582,97.77814627743778,99.99999999999997,99.99999999999999,99.99999999999999,98.46705100022184,97.92933941438237,97.70729291829002
"(('Hex', 1), ('HexNAc', 1), ('NeuAc', 1))",60.80155968663653,32.79422871702594,42.04733435161626,29.645327930993005,37.9107439271472,41.73827950427334,60.60695662569103,33.44330237689357,39.56409833811378,41.59578826067833,20.089953655241775,37.02202628234284,44.89063537684255,28.601369436623166,50.056033856955565,56.08468227994162,37.34399512954472
"(('Hex', 1), ('HexNAc', 1), ('NeuAc', 1), ('Sul', 1))",0.1864446798285325,3.5186667394656794,0.0,0.0,0.0,6.257923335583275,0.7261688814243316,1.875824786231973,0.0,0.0,2.8429844875032244,3.201399355276988,0.0,3.595908569247049,0.5289028647891466,14.990824568060905,3.060819265822485
"(('Hex', 1), ('HexNAc', 1), ('NeuAc', 1), ('Sul', 1), ('dHex', 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.5347715536889611,1.875824786231973,0.0,0.0,0.0632342505537547,0.0,0.0,1.2724568725199892,0.0,0.6077565289081536,0.1695563272877731
"(('Hex', 1), ('HexNAc', 1), ('NeuAc', 1), ('Sul', 1), ('dHex', 2))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632342505537547,0.0,0.0,0.0,0.0,0.0,0.1695563272877731
"(('Hex', 1), ('HexNAc', 1), ('NeuAc', 1), ('dHex', 1))",5.44254691931714,9.391561263592283,8.222070585041655,12.223368899709063,12.784285680172376,6.419345791224,50.321185521889596,11.571618776763565,4.50471154137937,23.659840773348158,4.041468039441426,11.738308403030219,0.0,8.166496707076792,21.802480627729416,4.516062814328234,8.658634523054944
"(('Hex', 1), ('HexNAc', 1), ('NeuAc', 1), ('dHex', 2))",2.957294696593714,1.649342987655789,0.0,2.154633636542952,3.3713390370258356,1.3407242343266976,0.5141827845275139,2.106604805321921,0.0,4.062596371401707,1.3378313002062383,0.0,0.0,2.5193656053833773,0.3060315891294513,1.5948417535992583,2.0826662097620283
"(('Hex', 1), ('HexNAc', 1), ('NeuAc', 1), ('dHex', 3))",0.2952499539818681,0.0,0.0,0.0,0.0,0.3818118494820513,0.5141827845275139,1.4837704155873508,0.0,3.3838348491734824,0.0,0.0,0.0,0.6130983811794146,0.0,0.6367939653223743,0.1882054962058501
"(('Hex', 1), ('HexNAc', 1), ('NeuAc', 2))",1.802931630015425,10.456917521323858,6.732557566607511,4.773798794789893,7.455597592717661,10.223958477807264,1.682735040146682,9.664129561332437,6.058502505369793,17.269224091974124,4.625070144756321,14.353768659726791,0.0,10.249354527296033,3.0163458092746245,16.291256374496644,5.318241732950803
